From	To	Species	Gene Name
Q96HW7	92105	Homo sapiens	integrator complex subunit 4(INTS4)
Q6U841	57282	Homo sapiens	solute carrier family 4 member 10(SLC4A10)
P08684	1576	Homo sapiens	cytochrome P450 family 3 subfamily A member 4(CYP3A4)
Q96CW1	1173	Homo sapiens	adaptor related protein complex 2 mu 1 subunit(AP2M1)
Q9Y3B1	51012	Homo sapiens	PRELI domain containing 3B(PRELID3B)
Q9Y2B0	10330	Homo sapiens	canopy FGF signaling regulator 2(CNPY2)
O15440	10057	Homo sapiens	ATP binding cassette subfamily C member 5(ABCC5)
O75179	26057	Homo sapiens	ankyrin repeat domain 17(ANKRD17)
Q8WUB8	55274	Homo sapiens	PHD finger protein 10(PHF10)
Q96D71	85021	Homo sapiens	RALBP1 associated Eps domain containing 1(REPS1)
Q9HCE0	57724	Homo sapiens	ectopic P-granules autophagy protein 5 homolog(EPG5)
Q6Y2X3	85406	Homo sapiens	DnaJ heat shock protein family (Hsp40) member C14(DNAJC14)
Q13546	8737	Homo sapiens	receptor interacting serine/threonine kinase 1(RIPK1)
Q9HCE3	55205	Homo sapiens	zinc finger protein 532(ZNF532)
P08670	7431	Homo sapiens	vimentin(VIM)
O15050	9881	Homo sapiens	tetratricopeptide repeat and ankyrin repeat containing 1(TRANK1)
Q96D70	91300	Homo sapiens	R3H domain containing 4(R3HDM4)
Q9Y2B5	9605	Homo sapiens	VPS9 domain containing 1(VPS9D1)
O95602	25885	Homo sapiens	RNA polymerase I subunit A(POLR1A)
Q9Y2B2	9487	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class L(PIGL)
O95714	8924	Homo sapiens	HECT and RLD domain containing E3 ubiquitin protein ligase 2(HERC2)
Q9Y3C7	51003	Homo sapiens	mediator complex subunit 31(MED31)
Q9BPZ7	79109	Homo sapiens	mitogen-activated protein kinase associated protein 1(MAPKAP1)
Q99502	2138	Homo sapiens	EYA transcriptional coactivator and phosphatase 1(EYA1)
Q9NTK5	29789	Homo sapiens	Obg like ATPase 1(OLA1)
Q9HCF6	80036	Homo sapiens	transient receptor potential cation channel subfamily M member 3(TRPM3)
A1IGU5	389337	Homo sapiens	Rho guanine nucleotide exchange factor 37(ARHGEF37)
Q5T0N1	118491	Homo sapiens	cilia and flagella associated protein 70(CFAP70)
Q8NAN2	374986	Homo sapiens	mitoguardin 1(MIGA1)
Q9Y2A7	10787	Homo sapiens	NCK associated protein 1(NCKAP1)
O75192	8800	Homo sapiens	peroxisomal biogenesis factor 11 alpha(PEX11A)
Q9Y3E7	51652	Homo sapiens	charged multivesicular body protein 3(CHMP3)
Q9Y3E5	51651	Homo sapiens	peptidyl-tRNA hydrolase 2(PTRH2)
Q12837	5458	Homo sapiens	POU class 4 homeobox 2(POU4F2)
Q96MD2	144577	Homo sapiens	chromosome 12 open reading frame 66(C12orf66)
Q99714	3028	Homo sapiens	hydroxysteroid 17-beta dehydrogenase 10(HSD17B10)
O00571	1654	Homo sapiens	DEAD-box helicase 3, X-linked(DDX3X)
Q86TI0	23216	Homo sapiens	TBC1 domain family member 1(TBC1D1)
Q9HCG7	57704	Homo sapiens	glucosylceramidase beta 2(GBA2)
O60294	9836	Homo sapiens	leucine carboxyl methyltransferase 2(LCMT2)
Q12830	2186	Homo sapiens	bromodomain PHD finger transcription factor(BPTF)
O15034	23504	Homo sapiens	RIMS binding protein 2(RIMBP2)
Q9HCG8	57703	Homo sapiens	CWC22 spliceosome associated protein homolog(CWC22)
O60293	196441	Homo sapiens	zinc finger C3H1-type containing(ZFC3H1)
Q96I51	81554	Homo sapiens	RCC1 like(RCC1L)
Q5XG87	11044	Homo sapiens	poly(A) RNA polymerase D7, non-canonical(PAPD7)
Q53HV7	23583	Homo sapiens	single-strand-selective monofunctional uracil-DNA glycosylase 1(SMUG1)
Q86YJ7	124930	Homo sapiens	ankyrin repeat domain 13B(ANKRD13B)
P11274	613	Homo sapiens	BCR, RhoGEF and GTPase activating protein(BCR)
Q9UIV1	29883	Homo sapiens	CCR4-NOT transcription complex subunit 7(CNOT7)
Q5T9L3	79971	Homo sapiens	wntless Wnt ligand secretion mediator(WLS)
Q8WYQ3	400916	Homo sapiens	coiled-coil-helix-coiled-coil-helix domain containing 10(CHCHD10)
P06213	3643	Homo sapiens	insulin receptor(INSR)
Q9Y2D1	22809	Homo sapiens	activating transcription factor 5(ATF5)
Q9Y2C3	10317	Homo sapiens	beta-1,3-galactosyltransferase 5(B3GALT5)
Q15011	9709	Homo sapiens	homocysteine inducible ER protein with ubiquitin like domain 1(HERPUD1)
Q9Y3F4	11171	Homo sapiens	serine/threonine kinase receptor associated protein(STRAP)
Q12824	6598	Homo sapiens	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1(SMARCB1)
Q15012	9741	Homo sapiens	lysosomal protein transmembrane 4 alpha(LAPTM4A)
P30532	1138	Homo sapiens	cholinergic receptor nicotinic alpha 5 subunit(CHRNA5)
Q9BZQ6	80267	Homo sapiens	ER degradation enhancing alpha-mannosidase like protein 3(EDEM3)
O00560	6386	Homo sapiens	syndecan binding protein(SDCBP)
Q92738	9712	Homo sapiens	USP6 N-terminal like(USP6NL)
P29120	5122	Homo sapiens	proprotein convertase subtilisin/kexin type 1(PCSK1)
Q6IA69	55191	Homo sapiens	NAD synthetase 1(NADSYN1)
Q92736	6262	Homo sapiens	ryanodine receptor 2(RYR2)
Q9H7R5	79788	Homo sapiens	zinc finger protein 665(ZNF665)
Q92734	10342	Homo sapiens	TRK-fused gene(TFG)
Q9NU22	23195	Homo sapiens	midasin AAA ATPase 1(MDN1)
O15018	23037	Homo sapiens	PDZ domain containing 2(PDZD2)
P22760	13	Homo sapiens	arylacetamide deacetylase(AADAC)
P22033	4594	Homo sapiens	methylmalonyl-CoA mutase(MUT)
Q5TGI4	389432	Homo sapiens	sterile alpha motif domain containing 5(SAMD5)
Q15006	9694	Homo sapiens	ER membrane protein complex subunit 2(EMC2)
Q15005	9789	Homo sapiens	signal peptidase complex subunit 2(SPCS2)
Q9H172	64137	Homo sapiens	ATP binding cassette subfamily G member 4(ABCG4)
Q9Y2F9	22903	Homo sapiens	BTB domain containing 3(BTBD3)
Q96HV5	90407	Homo sapiens	transmembrane protein 41A(TMEM41A)
Q9UNH7	58533	Homo sapiens	sorting nexin 6(SNX6)
A5PLN9	80006	Homo sapiens	trafficking protein particle complex 13(TRAPPC13)
Q12852	7786	Homo sapiens	mitogen-activated protein kinase kinase kinase 12(MAP3K12)
Q9NU19	55633	Homo sapiens	TBC1 domain family member 22B(TBC1D22B)
O15013	9639	Homo sapiens	Rho guanine nucleotide exchange factor 10(ARHGEF10)
P30566	158	Homo sapiens	adenylosuccinate lyase(ADSL)
P12814	87	Homo sapiens	actinin alpha 1(ACTN1)
O43432	8672	Homo sapiens	eukaryotic translation initiation factor 4 gamma 3(EIF4G3)
Q86TW2	57143	Homo sapiens	aarF domain containing kinase 1(ADCK1)
P02511	1410	Homo sapiens	crystallin alpha B(CRYAB)
Q8IYS2	90231	Homo sapiens	KIAA2013(KIAA2013)
Q8NEZ4	58508	Homo sapiens	lysine methyltransferase 2C(KMT2C)
Q86U86	55193	Homo sapiens	polybromo 1(PBRM1)
Q2VWA4	652991	Homo sapiens	SKI family transcriptional corepressor 2(SKOR2)
P53992	9632	Homo sapiens	SEC24 homolog C, COPII coat complex component(SEC24C)
Q86YH6	57107	Homo sapiens	prenyl (decaprenyl) diphosphate synthase, subunit 2(PDSS2)
P53990	9798	Homo sapiens	IST1, ESCRT-III associated factor(IST1)
Q99700	6311	Homo sapiens	ataxin 2(ATXN2)
Q96HU8	54769	Homo sapiens	DIRAS family GTPase 2(DIRAS2)
Q9Y2E4	22982	Homo sapiens	disco interacting protein 2 homolog C(DIP2C)
Q9Y2E6	23220	Homo sapiens	deltex E3 ubiquitin ligase 4(DTX4)
P29144	7174	Homo sapiens	tripeptidyl peptidase 2(TPP2)
Q96HU1	27352	Homo sapiens	small G protein signaling modulator 3(SGSM3)
Q12840	3798	Homo sapiens	kinesin family member 5A(KIF5A)
Q9NU02	63926	Homo sapiens	ankyrin repeat and EF-hand domain containing 1(ANKEF1)
O00541	23481	Homo sapiens	pescadillo ribosomal biogenesis factor 1(PES1)
O60264	8467	Homo sapiens	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5(SMARCA5)
Q7Z5L2	27291	Homo sapiens	R3H domain and coiled-coil containing 1 like(R3HCC1L)
Q9UIW2	5361	Homo sapiens	plexin A1(PLXNA1)
Q9HCJ3	55225	Homo sapiens	ribonucleoprotein, PTB binding 2(RAVER2)
Q9BVA0	10300	Homo sapiens	katanin regulatory subunit B1(KATNB1)
Q9HCJ6	57687	Homo sapiens	vesicle amine transport 1 like(VAT1L)
Q9HCJ5	57688	Homo sapiens	zinc finger SWIM-type containing 6(ZSWIM6)
Q9H814	51808	Homo sapiens	phosphorylated adaptor for RNA export(PHAX)
Q86TV6	145567	Homo sapiens	tetratricopeptide repeat domain 7B(TTC7B)
Q9BVA1	347733	Homo sapiens	tubulin beta 2B class IIb(TUBB2B)
P12821	1636	Homo sapiens	angiotensin I converting enzyme(ACE)
Q9H0W7	83591	Homo sapiens	THAP domain containing 2(THAP2)
Q6TFL3	203238	Homo sapiens	coiled-coil domain containing 171(CCDC171)
Q6WCQ1	23164	Homo sapiens	myosin phosphatase Rho interacting protein(MPRIP)
A2A3K4	138639	Homo sapiens	protein tyrosine phosphatase domain containing 1(PTPDC1)
Q96MG8	115294	Homo sapiens	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1(PCMTD1)
Q9NYF3	51307	Homo sapiens	family with sequence similarity 53 member C(FAM53C)
Q9UBB5	8932	Homo sapiens	methyl-CpG binding domain protein 2(MBD2)
Q96DA2	116442	Homo sapiens	RAB39B, member RAS oncogene family(RAB39B)
Q9UBB9	24144	Homo sapiens	tuftelin interacting protein 11(TFIP11)
P47897	5859	Homo sapiens	glutaminyl-tRNA synthetase(QARS)
P39656	1650	Homo sapiens	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit(DDOST)
Q9NPE3	55505	Homo sapiens	NOP10 ribonucleoprotein(NOP10)
Q9Y2H9	22983	Homo sapiens	microtubule associated serine/threonine kinase 1(MAST1)
Q7LBC6	51780	Homo sapiens	lysine demethylase 3B(KDM3B)
Q9Y2H8	22869	Homo sapiens	zinc finger protein 510(ZNF510)
Q96I13	79575	Homo sapiens	abhydrolase domain containing 8(ABHD8)
Q5JWR5	23033	Homo sapiens	dopey family member 1(DOPEY1)
Q69YN4	25962	Homo sapiens	KIAA1429(KIAA1429)
Q69YN2	55280	Homo sapiens	CWF19-like 1, cell cycle control (S. pombe)(CWF19L1)
O60256	5636	Homo sapiens	phosphoribosyl pyrophosphate synthetase associated protein 2(PRPSAP2)
Q96HP4	92106	Homo sapiens	oxidoreductase NAD binding domain containing 1(OXNAD1)
Q9H3E2	83891	Homo sapiens	sorting nexin 25(SNX25)
Q9Y2H1	23012	Homo sapiens	serine/threonine kinase 38 like(STK38L)
Q9Y2H6	22862	Homo sapiens	fibronectin type III domain containing 3A(FNDC3A)
Q00537	5128	Homo sapiens	cyclin dependent kinase 17(CDK17)
Q00535	1020	Homo sapiens	cyclin dependent kinase 5(CDK5)
Q9P278	57600	Homo sapiens	folliculin interacting protein 2(FNIP2)
Q99598	7257	Homo sapiens	translin associated factor X(TSNAX)
Q15386	9690	Homo sapiens	ubiquitin protein ligase E3C(UBE3C)
Q16878	1036	Homo sapiens	cysteine dioxygenase type 1(CDO1)
Q9HA77	79587	Homo sapiens	cysteinyl-tRNA synthetase 2, mitochondrial (putative)(CARS2)
Q96ST2	55677	Homo sapiens	IWS1, SUPT6H interacting protein(IWS1)
Q96ST3	25942	Homo sapiens	SIN3 transcription regulator family member A(SIN3A)
P50747	3141	Homo sapiens	holocarboxylase synthetase(HLCS)
P05089	383	Homo sapiens	arginase 1(ARG1)
Q8WUM4	10015	Homo sapiens	programmed cell death 6 interacting protein(PDCD6IP)
P22314	7317	Homo sapiens	ubiquitin like modifier activating enzyme 1(UBA1)
Q96T58	23013	Homo sapiens	spen family transcriptional repressor(SPEN)
O75529	27097	Homo sapiens	TATA-box binding protein associated factor 5 like(TAF5L)
Q8WYL5	54434	Homo sapiens	slingshot protein phosphatase 1(SSH1)
Q96P70	55705	Homo sapiens	importin 9(IPO9)
Q9UBC1	4795	Homo sapiens	NFKB inhibitor like 1(NFKBIL1)
Q9UBC2	58513	Homo sapiens	epidermal growth factor receptor pathway substrate 15 like 1(EPS15L1)
P21281	526	Homo sapiens	ATPase H+ transporting V1 subunit B2(ATP6V1B2)
O60244	9282	Homo sapiens	mediator complex subunit 14(MED14)
Q9H871	64795	Homo sapiens	required for meiotic nuclear division 5 homolog A(RMND5A)
P50336	5498	Homo sapiens	protoporphyrinogen oxidase(PPOX)
Q70CQ2	9736	Homo sapiens	ubiquitin specific peptidase 34(USP34)
Q9H3F6	83892	Homo sapiens	potassium channel tetramerization domain containing 10(KCTD10)
Q70CQ3	84749	Homo sapiens	ubiquitin specific peptidase 30(USP30)
Q8N9F7	284161	Homo sapiens	glycerophosphodiester phosphodiesterase domain containing 1(GDPD1)
Q9H0U6	29074	Homo sapiens	mitochondrial ribosomal protein L18(MRPL18)
P26599	5725	Homo sapiens	polypyrimidine tract binding protein 1(PTBP1)
Q9HCL0	54510	Homo sapiens	protocadherin 18(PCDH18)
Q9HCL2	57678	Homo sapiens	glycerol-3-phosphate acyltransferase, mitochondrial(GPAM)
P50749	9770	Homo sapiens	Ras association domain family member 2(RASSF2)
Q92777	6854	Homo sapiens	synapsin II(SYN2)
Q9BZV1	80700	Homo sapiens	UBX domain protein 6(UBXN6)
Q15397	9933	Homo sapiens	pumilio RNA binding family member 3(PUM3)
P09001	11222	Homo sapiens	mitochondrial ribosomal protein L3(MRPL3)
Q92747	10552	Homo sapiens	actin related protein 2/3 complex subunit 1A(ARPC1A)
Q12893	11070	Homo sapiens	transmembrane protein 115(TMEM115)
O75533	23451	Homo sapiens	splicing factor 3b subunit 1(SF3B1)
P30520	159	Homo sapiens	adenylosuccinate synthase(ADSS)
O75534	7812	Homo sapiens	cold shock domain containing E1(CSDE1)
Q7L9B9	80820	Homo sapiens	endonuclease/exonuclease/phosphatase family domain containing 1(EEPD1)
P50750	1025	Homo sapiens	cyclin dependent kinase 9(CDK9)
Q96HR3	90390	Homo sapiens	mediator complex subunit 30(MED30)
Q9H0R6	55278	Homo sapiens	glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1(QRSL1)
Q8N3C0	10973	Homo sapiens	activating signal cointegrator 1 complex subunit 3(ASCC3)
Q9Y2J2	23136	Homo sapiens	erythrocyte membrane protein band 4.1 like 3(EPB41L3)
Q6IA86	55250	Homo sapiens	elongator acetyltransferase complex subunit 2(ELP2)
Q9P258	55920	Homo sapiens	regulator of chromosome condensation 2(RCC2)
Q9HCM4	57669	Homo sapiens	erythrocyte membrane protein band 4.1 like 5(EPB41L5)
Q9P253	57617	Homo sapiens	VPS18, CORVET/HOPS core subunit(VPS18)
Q9HCM2	91584	Homo sapiens	plexin A4(PLXNA4)
P22735	7051	Homo sapiens	transglutaminase 1(TGM1)
Q16891	10989	Homo sapiens	inner membrane mitochondrial protein(IMMT)
Q12882	1806	Homo sapiens	dihydropyrimidine dehydrogenase(DPYD)
Q6ZWE6	389072	Homo sapiens	pleckstrin homology domain containing M3(PLEKHM3)
Q12887	1352	Homo sapiens	COX10, heme A:farnesyltransferase cytochrome c oxidase assembly factor(COX10)
Q8WUK0	114971	Homo sapiens	protein tyrosine phosphatase, mitochondrial 1(PTPMT1)
Q96I24	8939	Homo sapiens	far upstream element binding protein 3(FUBP3)
Q9Y2I8	22884	Homo sapiens	WD repeat domain 37(WDR37)
Q86U38	161424	Homo sapiens	NOP9 nucleolar protein(NOP9)
Q9Y2I7	200576	Homo sapiens	phosphoinositide kinase, FYVE-type zinc finger containing(PIKFYVE)
Q9H147	116092	Homo sapiens	deoxynucleotidyltransferase terminal interacting protein 1(DNTTIP1)
Q9Y2I1	11188	Homo sapiens	nischarin(NISCH)
Q9BQS2	83849	Homo sapiens	synaptotagmin 15(SYT15)
O43402	10328	Homo sapiens	ER membrane protein complex subunit 8(EMC8)
Q9H0S4	51202	Homo sapiens	DEAD-box helicase 47(DDX47)
P23229	3655	Homo sapiens	integrin subunit alpha 6(ITGA6)
Q9H857	64943	Homo sapiens	5'-nucleotidase domain containing 2(NT5DC2)
P78312	8603	Homo sapiens	family with sequence similarity 193 member A(FAM193A)
Q96DM3	29919	Homo sapiens	chromosome 18 open reading frame 8(C18orf8)
Q9BVG4	51260	Homo sapiens	polysaccharide biosynthesis domain containing 1(PBDC1)
P00367	2746	Homo sapiens	glutamate dehydrogenase 1(GLUD1)
Q15477	6499	Homo sapiens	Ski2 like RNA helicase(SKIV2L)
Q9H0A0	55226	Homo sapiens	N-acetyltransferase 10(NAT10)
Q9NYL4	51303	Homo sapiens	FK506 binding protein 11(FKBP11)
P78316	8602	Homo sapiens	NOP14 nucleolar protein(NOP14)
O95267	10125	Homo sapiens	RAS guanyl releasing protein 1(RASGRP1)
Q9P244	57622	Homo sapiens	leucine rich repeat and fibronectin type III domain containing 1(LRFN1)
Q9P243	57623	Homo sapiens	zinc finger and AT-hook domain containing(ZFAT)
P82094	7110	Homo sapiens	TATA element modulatory factor 1(TMF1)
Q9Y2L5	22878	Homo sapiens	trafficking protein particle complex 8(TRAPPC8)
Q9H7Z7	80142	Homo sapiens	prostaglandin E synthase 2(PTGES2)
Q8WU90	55854	Homo sapiens	zinc finger CCCH-type containing 15(ZC3H15)
P62753	6194	Homo sapiens	ribosomal protein S6(RPS6)
P78318	3476	Homo sapiens	immunoglobulin (CD79A) binding protein 1(IGBP1)
Q15858	6335	Homo sapiens	sodium voltage-gated channel alpha subunit 9(SCN9A)
P49796	5998	Homo sapiens	regulator of G-protein signaling 3(RGS3)
Q8NFF5	80308	Homo sapiens	flavin adenine dinucleotide synthetase 1(FLAD1)
Q00987	4193	Homo sapiens	MDM2 proto-oncogene(MDM2)
Q8WTW4	10641	Homo sapiens	NPR2-like, GATOR1 complex subunit(NPRL2)
P49790	9972	Homo sapiens	nucleoporin 153(NUP153)
Q68DU8	57528	Homo sapiens	potassium channel tetramerization domain containing 16(KCTD16)
Q96LK0	84984	Homo sapiens	centrosomal protein 19(CEP19)
Q9NYK5	54148	Homo sapiens	mitochondrial ribosomal protein L39(MRPL39)
Q9H3Z4	80331	Homo sapiens	DnaJ heat shock protein family (Hsp40) member C5(DNAJC5)
Q15464	6461	Homo sapiens	SH2 domain containing adaptor protein B(SHB)
Q5VVW2	84253	Homo sapiens	GTPase activating Rap/RanGAP domain like 3(GARNL3)
Q00577	5813	Homo sapiens	purine rich element binding protein A(PURA)
Q5T4S7	23352	Homo sapiens	ubiquitin protein ligase E3 component n-recognin 4(UBR4)
Q8NBF6	23080	Homo sapiens	AVL9 cell migration associated(AVL9)
P23258	7283	Homo sapiens	tubulin gamma 1(TUBG1)
O60218	57016	Homo sapiens	aldo-keto reductase family 1 member B10(AKR1B10)
P04035	3156	Homo sapiens	3-hydroxy-3-methylglutaryl-CoA reductase(HMGCR)
O95251	11143	Homo sapiens	lysine acetyltransferase 7(KAT7)
Q00169	5306	Homo sapiens	phosphatidylinositol transfer protein alpha(PITPNA)
Q8WU76	152579	Homo sapiens	sec1 family domain containing 2(SCFD2)
Q9UBF8	5298	Homo sapiens	phosphatidylinositol 4-kinase beta(PI4KB)
Q9UBF2	26958	Homo sapiens	coatomer protein complex subunit gamma 2(COPG2)
Q9BZH6	55717	Homo sapiens	WD repeat domain 11(WDR11)
O60216	5885	Homo sapiens	RAD21 cohesin complex component(RAD21)
Q5TKA1	286826	Homo sapiens	lin-9 DREAM MuvB core complex component(LIN9)
Q9BQD3	79036	Homo sapiens	KxDL motif containing 1(KXD1)
Q9NUL3	27067	Homo sapiens	staufen double-stranded RNA binding protein 2(STAU2)
Q15493	9104	Homo sapiens	regucalcin(RGN)
Q9HCR9	50940	Homo sapiens	phosphodiesterase 11A(PDE11A)
P43155	1384	Homo sapiens	carnitine O-acetyltransferase(CRAT)
P17152	8834	Homo sapiens	transmembrane protein 11(TMEM11)
Q8NFD5	57492	Homo sapiens	AT-rich interaction domain 1B(ARID1B)
Q92793	1387	Homo sapiens	CREB binding protein(CREBBP)
O95243	8930	Homo sapiens	methyl-CpG binding domain 4, DNA glycosylase(MBD4)
Q9UBI4	9399	Homo sapiens	stomatin like 1(STOML1)
Q8WU67	171586	Homo sapiens	abhydrolase domain containing 3(ABHD3)
Q9H7X0	79903	Homo sapiens	N(alpha)-acetyltransferase 60, NatF catalytic subunit(NAA60)
P11216	5834	Homo sapiens	phosphorylase, glycogen; brain(PYGB)
Q96PE3	3631	Homo sapiens	inositol polyphosphate-4-phosphatase type I A(INPP4A)
O43396	9352	Homo sapiens	thioredoxin like 1(TXNL1)
Q9NYI0	23362	Homo sapiens	pleckstrin and Sec7 domain containing 3(PSD3)
Q9H492	84557	Homo sapiens	microtubule associated protein 1 light chain 3 alpha(MAP1LC3A)
P62380	9519	Homo sapiens	TATA-box binding protein like 1(TBPL1)
Q9HD20	57130	Homo sapiens	ATPase 13A1(ATP13A1)
Q01968	4952	Homo sapiens	OCRL, inositol polyphosphate-5-phosphatase(OCRL)
Q8WTT2	64318	Homo sapiens	NOC3 like DNA replication regulator(NOC3L)
Q99653	11261	Homo sapiens	calcineurin like EF-hand protein 1(CHP1)
Q9BZF3	114880	Homo sapiens	oxysterol binding protein like 6(OSBPL6)
Q9BZF1	114882	Homo sapiens	oxysterol binding protein like 8(OSBPL8)
Q96HN2	23382	Homo sapiens	adenosylhomocysteinase like 2(AHCYL2)
Q9BQF6	57337	Homo sapiens	SUMO1/sentrin specific peptidase 7(SENP7)
P49748	37	Homo sapiens	acyl-CoA dehydrogenase, very long chain(ACADVL)
Q8IYT8	9706	Homo sapiens	unc-51 like autophagy activating kinase 2(ULK2)
Q15813	6905	Homo sapiens	tubulin folding cofactor E(TBCE)
Q8IZ57	140767	Homo sapiens	neurensin 1(NRSN1)
Q15814	6903	Homo sapiens	tubulin folding cofactor C(TBCC)
Q9BVK2	79053	Homo sapiens	ALG8, alpha-1,3-glucosyltransferase(ALG8)
Q9BVK8	10430	Homo sapiens	transmembrane protein 147(TMEM147)
Q01973	4919	Homo sapiens	receptor tyrosine kinase like orphan receptor 1(ROR1)
Q9Y312	25980	Homo sapiens	AAR2 splicing factor homolog(AAR2)
Q659A1	79664	Homo sapiens	interactor of little elongation complex ELL subunit 2(ICE2)
Q9Y316	51072	Homo sapiens	mediator of cell motility 1(MEMO1)
Q8IYT2	55783	Homo sapiens	cap methyltransferase 2(CMTR2)
Q9Y314	51070	Homo sapiens	nitric oxide synthase interacting protein(NOSIP)
Q6ZT12	130507	Homo sapiens	ubiquitin protein ligase E3 component n-recognin 3 (putative)(UBR3)
P11233	5898	Homo sapiens	RAS like proto-oncogene A(RALA)
P36956	6720	Homo sapiens	sterol regulatory element binding transcription factor 1(SREBF1)
Q8NBA8	285605	Homo sapiens	DTW domain containing 2(DTWD2)
P10253	2548	Homo sapiens	glucosidase alpha, acid(GAA)
A6NN14	100287226	Homo sapiens	zinc finger protein 729(ZNF729)
P49750	56252	Homo sapiens	YLP motif containing 1(YLPM1)
P36957	1743	Homo sapiens	dihydrolipoamide S-succinyltransferase(DLST)
Q9UBK8	4552	Homo sapiens	5-methyltetrahydrofolate-homocysteine methyltransferase reductase(MTRR)
Q8IZ69	27037	Homo sapiens	tRNA methyltransferase 2 homolog A(TRMT2A)
P49754	27072	Homo sapiens	VPS41, HOPS complex subunit(VPS41)
Q9HD42	5119	Homo sapiens	charged multivesicular body protein 1A(CHMP1A)
P49756	58517	Homo sapiens	RNA binding motif protein 25(RBM25)
O95218	9406	Homo sapiens	zinc finger RANBP2-type containing 2(ZRANB2)
P49354	2339	Homo sapiens	farnesyltransferase, CAAX box, alpha(FNTA)
O95219	8723	Homo sapiens	sorting nexin 4(SNX4)
Q08499	5144	Homo sapiens	phosphodiesterase 4D(PDE4D)
Q9BVJ7	54935	Homo sapiens	dual specificity phosphatase 23(DUSP23)
Q9Y303	51005	Homo sapiens	amidohydrolase domain containing 2(AMDHD2)
Q8IYU2	57531	Homo sapiens	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1(HACE1)
P25021	3274	Homo sapiens	histamine receptor H2(HRH2)
Q9NUP7	54482	Homo sapiens	tRNA methyltransferase 13 homolog(TRMT13)
Q9BRK4	84445	Homo sapiens	leucine zipper tumor suppressor 2(LZTS2)
Q6ZT07	23158	Homo sapiens	TBC1 domain family member 9(TBC1D9)
Q8WTR4	81544	Homo sapiens	glycerophosphodiester phosphodiesterase domain containing 5(GDPD5)
Q8NFA0	84669	Homo sapiens	ubiquitin specific peptidase 32(USP32)
P11229	1128	Homo sapiens	cholinergic receptor muscarinic 1(CHRM1)
P36969	2879	Homo sapiens	glutathione peroxidase 4(GPX4)
Q53H82	51110	Homo sapiens	lactamase beta 2(LACTB2)
Q86UL3	137964	Homo sapiens	glycerol-3-phosphate acyltransferase 4(GPAT4)
Q676U5	55054	Homo sapiens	autophagy related 16 like 1(ATG16L1)
Q9UJ41	27342	Homo sapiens	RAB guanine nucleotide exchange factor 1(RABGEF1)
P16870	1363	Homo sapiens	carboxypeptidase E(CPE)
Q9Y2R9	51081	Homo sapiens	mitochondrial ribosomal protein S7(MRPS7)
Q13948	1523	Homo sapiens	cut like homeobox 1(CUX1)
O95202	3954	Homo sapiens	leucine zipper and EF-hand containing transmembrane protein 1(LETM1)
P48651	9791	Homo sapiens	phosphatidylserine synthase 1(PTDSS1)
Q13946	5150	Homo sapiens	phosphodiesterase 7A(PDE7A)
P30085	51727	Homo sapiens	cytidine/uridine monophosphate kinase 1(CMPK1)
P05141	292	Homo sapiens	solute carrier family 25 member 5(SLC25A5)
A2RUC4	129450	Homo sapiens	tRNA-yW synthesizing protein 5(TYW5)
Q8WYB5	23522	Homo sapiens	lysine acetyltransferase 6B(KAT6B)
P23786	1376	Homo sapiens	carnitine palmitoyltransferase 2(CPT2)
P48643	22948	Homo sapiens	chaperonin containing TCP1 subunit 5(CCT5)
Q9NUM3	55334	Homo sapiens	solute carrier family 39 member 9(SLC39A9)
Q6UWE0	90678	Homo sapiens	leucine rich repeat and sterile alpha motif containing 1(LRSAM1)
Q8WU20	10818	Homo sapiens	fibroblast growth factor receptor substrate 2(FRS2)
O43861	374868	Homo sapiens	ATPase phospholipid transporting 9B (putative)(ATP9B)
Q16401	5711	Homo sapiens	proteasome 26S subunit, non-ATPase 5(PSMD5)
Q7Z6B7	57522	Homo sapiens	SLIT-ROBO Rho GTPase activating protein 1(SRGAP1)
Q99623	11331	Homo sapiens	prohibitin 2(PHB2)
O14775	10681	Homo sapiens	G protein subunit beta 5(GNB5)
Q8N2I9	83931	Homo sapiens	serine/threonine kinase 40(STK40)
Q9HCU5	10113	Homo sapiens	prolactin regulatory element binding(PREB)
Q9BVL4	83642	Homo sapiens	selenoprotein O(SELENOO)
Q9HD67	4651	Homo sapiens	myosin X(MYO10)
Q9BVL2	9818	Homo sapiens	nucleoporin 58(NUP58)
Q9Y210	7225	Homo sapiens	transient receptor potential cation channel subfamily C member 6(TRPC6)
Q8IYW5	165918	Homo sapiens	ring finger protein 168(RNF168)
P15336	1386	Homo sapiens	activating transcription factor 2(ATF2)
Q6PI26	55164	Homo sapiens	SHQ1, H/ACA ribonucleoprotein assembly factor(SHQ1)
Q9Y320	51075	Homo sapiens	thioredoxin related transmembrane protein 2(TMX2)
